OrientedBoundingBox
frame,obb_id,class_id,corner_x1,corner_y1,corner_x2,corner_y2,corner_x3,corner_y3,corner_x4,corner_y4
32,0,0,1787.83,1164.32,1946.94,1163.46,1947.78,1319.24,1788.67,1320.1
33,0,0,1789.1,1162.87,1949.84,1162.87,1949.84,1322.28,1789.1,1322.28
42,0,0,1787.18,1167.12,1946.75,1165.19,1948.61,1318.96,1789.04,1320.9
57,0,2,1767.66,795.501,1909.33,823.95,1879.76,971.198,1738.09,942.749
60,0,2,1772.78,793.508,1914.58,822.652,1883.61,973.35,1741.81,944.206
65,0,2,1771.92,794.194,1914.84,822.778,1884.73,973.35,1741.81,944.766
66,0,2,1773,795.166,1914.8,824.31,1884.17,973.35,1742.37,944.206
67,0,2,1743.44,944.218,1773.15,798.496,1913.31,827.068,1883.61,972.79
68,0,2,1887.1,972.313,1744.18,945.971,1770.95,800.726,1913.87,827.068
69,0,2,1794.06,996.108,1663.47,932.215,1728.36,799.605,1858.95,863.498
81,0,2,1908.01,1331.76,1763.41,1322.79,1772.63,1174,1917.23,1182.97
82,0,2,1770.5,1175.26,1915.66,1182.55,1908.27,1329.81,1763.11,1322.52
83,0,2,1771.11,1175.3,1917.02,1182.74,1909.5,1330.27,1763.59,1322.83
91,0,2,1772.14,1174.63,1917.86,1183.6,1908.83,1330.37,1763.11,1321.4
92,0,2,1770.39,1174,1915.55,1182.41,1906.9,1331.87,1761.74,1323.46
93,0,2,1921.35,1321.48,1777.31,1340.53,1757.5,1190.81,1901.54,1171.76
94,0,2,1722.46,1283.53,1589.63,1345.18,1522.66,1200.9,1655.5,1139.25
108,0,0,1749.62,793.661,1909.1,794.518,1908.25,952.244,1748.77,951.387
115,0,0,1749.28,795.109,1907.18,793.965,1908.33,953.008,1750.44,954.152
134,0,0,1713.69,808.245,1868.73,806.282,1870.68,960.404,1715.64,962.367
134,1,2,1762.88,1416.58,1689.81,1291.22,1816.61,1217.3,1889.69,1342.65
169,0,2,1641.66,846.521,1773.21,788.45,1834.2,926.607,1702.65,984.678
169,1,0,1767.48,1181.23,1923.92,1183.07,1922.04,1343.08,1765.6,1341.24
184,0,0,1767.71,1182.12,1925.63,1185.63,1922.12,1343.72,1764.2,1340.22
184,1,0,1709.46,812.114,1862.55,814.231,1860.37,971.98,1707.27,969.864
202,0,2,1758.45,744.088,1895.81,786.86,1849.97,934.089,1712.6,891.317
202,1,2,1844.61,1345.32,1762.25,1225.57,1885.28,1140.96,1967.63,1260.72
214,0,2,1782.7,1184.89,1925.62,1160.62,1950.72,1308.44,1807.8,1332.71
214,1,2,1796.45,940.763,1716.92,820.993,1845.88,735.368,1925.41,855.138
231,0,2,1806.72,1230.18,1943.48,1290.31,1885.53,1422.1,1748.77,1361.96
231,1,2,1821.72,975.396,1732.08,860.558,1845.68,771.881,1935.32,886.72
253,0,2,1862.1,1151.97,1993.77,1214.49,1930.7,1347.31,1799.04,1284.78
253,1,2,1755.98,819.458,1893.62,867.615,1845.71,1004.57,1708.06,956.409
257,0,2,1756.76,818.503,1894.64,867.263,1846.62,1003.06,1708.74,954.294
257,1,2,1862.26,1153.36,1993.41,1216.69,1930.13,1347.74,1798.98,1284.41
259,0,2,1861.78,1152.58,1992.37,1214.79,1929.57,1346.62,1798.98,1284.41
259,1,2,1756.33,817.672,1893.65,865.312,1846.05,1002.49,1708.74,954.855
270,0,2,1783.99,798.279,1927.47,778.102,1948.62,928.513,1805.14,948.69
270,1,2,1863.29,1151.84,1994.44,1215.73,1930.13,1347.74,1798.98,1283.85
